Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Booking.com,['booking.com'],['bookingcom']
Official,['official'],['offici']
site,['site'],['site']
best,['best'],['best']
"hotels,",['hotels'],['hotel']
"flights,",['flights'],['flight']
car,['car'],['car']
rentals,['rentals'],['rental']
accommodations,['accommodations'],['accommod']
Skip,['skip'],['skip']
main,['main'],['main']
content,['content'],['content']
USDList,['usdlist'],['usdlist']
propertyRegisterSign,['propertyregistersign'],['propertyregistersign']
inStaysFlightsFlight,['instaysflightsflight'],['instaysflightsflight']
HotelCar,['hotelcar'],['hotelcar']
rentalsCruisesAttractionsAirport,['rentalscruisesattractionsairport'],['rentalscruisesattractionsairport']
taxisMore,['taxismore'],['taxismor']
Find,['find'],['find']
deals,['deals'],['deal']
seasonFrom,['seasonfrom'],['seasonfrom']
cozy,['cozy'],['cozi']
bed,['bed'],['bed']
breakfasts,['breakfasts'],['breakfast']
luxury,['luxury'],['luxuri']
hotels,['hotels'],['hotel']
Check-in,['check-in'],['checkin']
Date,['date'],['date']
Check-out,['check-out'],['checkout']
adults,['adults'],['adult']
children,['children'],['children']
roomSearchI’m,"['roomsearchi', '’']",['roomsearchim']
looking,['looking'],['look']
flights,['flights'],['flight']
"OffersPromotions,",['offerspromotions'],['offerspromot']
"deals,",['deals'],['deal']
special,['special'],['special']
offers,['offers'],['offer']
youFly,['youfly'],['youfli']
away,['away'],['away']
dream,['dream'],['dream']
vacationGet,['vacationget'],['vacationget']
inspired,['inspired'],['inspir']
compare,['compare'],['compar']
book,['book'],['book']
flights,['flights'],['flight']
flexibilitySearch,['flexibilitysearch'],['flexibilitysearch']
flightsSeize,['flightsseize'],['flightsseiz']
moment!Save,"['moment', 'save']",['momentsav']
book,['book'],['book']
stay,['stay'],['stay']
October,['october'],['octob']
Getaway,['getaway'],['getaway']
Deals,['deals'],['deal']
Get,['get'],['get']
instant,['instant'],['instant']
discountsJust,['discountsjust'],['discountsjust']
sign,['sign'],['sign']
Booking.com,['booking.com'],['bookingcom']
account,['account'],['account']
look,['look'],['look']
blue,['blue'],['blue']
Genius,['genius'],['geniu']
logo,['logo'],['logo']
saveSign,['savesign'],['savesign']
inRegister,['inregister'],['inregist']
Get,['get'],['get']
inspiration,['inspiration'],['inspir']
next,['next'],['next']
trip,['trip'],['trip']
best,['best'],['best']
hotels,['hotels'],['hotel']
Los,['los'],['lo']
Angeles,['angeles'],['angel']
Hollywood,['hollywood'],['hollywood']
Beverly,['beverly'],['beverli']
Hills,['hills'],['hill']
discover,['discover'],['discov']
best,['best'],['best']
hotels,['hotels'],['hotel']
Los,['los'],['lo']
Angeles,['angeles'],['angel']
stay,['stay'],['stay']
best,['best'],['best']
Orlando,['orlando'],['orlando']
hotels,['hotels'],['hotel']
families,['families'],['famili']
Discover,['discover'],['discov']
best,['best'],['best']
Orlando,['orlando'],['orlando']
hotels,['hotels'],['hotel']
families,['families'],['famili']
vacation.,['vacation'],['vacat']
best,['best'],['best']
ski,['ski'],['ski']
towns,['towns'],['town']
around,['around'],['around']
world,['world'],['world']
Discover,['discover'],['discov']
winter,['winter'],['winter']
wonderland,['wonderland'],['wonderland']
charming,['charming'],['charm']
ski,['ski'],['ski']
destinations,['destinations'],['destin']
vacation,['vacation'],['vacat']
homes,['homes'],['home']
Thanksgiving,['thanksgiving'],['thanksgiv']
getaway,['getaway'],['getaway']
Enjoy,['enjoy'],['enjoy']
Thanksgiving,['thanksgiving'],['thanksgiv']
dinner,['dinner'],['dinner']
vacation,['vacation'],['vacat']
homes.,['homes'],['home']
incredible,['incredible'],['incred']
Bangkok,['bangkok'],['bangkok']
rooftop,['rooftop'],['rooftop']
bars,['bars'],['bar']
Amazing,['amazing'],['amaz']
city,['city'],['citi']
"views,",['views'],['view']
"cocktails,",['cocktails'],['cocktail']
world-class,['world-class'],['worldclass']
cuisine.,['cuisine'],['cuisin']
Trending,['trending'],['trend']
destinationsMost,['destinationsmost'],['destinationsmost']
popular,['popular'],['popular']
choices,['choices'],['choic']
travelers,['travelers'],['travel']
United,['united'],['unit']
StatesOrlandoLas,['statesorlandolas'],['statesorlandola']
VegasNew,['vegasnew'],['vegasnew']
YorkMyrtle,['yorkmyrtle'],['yorkmyrtl']
BeachAtlanta,['beachatlanta'],['beachatlanta']
Destinations,['destinations'],['destin']
Bookers,['bookers'],['booker']
love,['love'],['love']
Regions,['regions'],['region']
Cities,['cities'],['citi']
Places,['places'],['place']
interest,['interest'],['interest']
Tenerife,['tenerife'],['tenerif']
properties,['properties'],['properti']
England,['england'],['england']
properties,['properties'],['properti']
Bihar,['bihar'],['bihar']
properties,['properties'],['properti']
Hawaii,['hawaii'],['hawaii']
properties,['properties'],['properti']
Guernsey,['guernsey'],['guernsey']
properties,['properties'],['properti']
Texel,['texel'],['texel']
properties,['properties'],['properti']
Lake,['lake'],['lake']
District,['district'],['district']
properties,['properties'],['properti']
Ibiza,['ibiza'],['ibiza']
properties,['properties'],['properti']
Isle,['isle'],['isl']
Wight,['wight'],['wight']
properties,['properties'],['properti']
Bali,['bali'],['bali']
properties,['properties'],['properti']
Cornwall,['cornwall'],['cornwal']
properties,['properties'],['properti']
Phuket,['phuket'],['phuket']
Province,['province'],['provinc']
properties,['properties'],['properti']
Jersey,['jersey'],['jersey']
properties,['properties'],['properti']
Mykonos,['mykonos'],['mykono']
properties,['properties'],['properti']
Bora,['bora'],['bora']
Bora,['bora'],['bora']
properties,['properties'],['properti']
Santorini,['santorini'],['santorini']
properties,['properties'],['properti']
Ras,['ras'],['ra']
Al,['al'],['al']
Khaimah,['khaimah'],['khaimah']
properties,['properties'],['properti']
Uttar,['uttar'],['uttar']
Pradesh,['pradesh'],['pradesh']
properties,['properties'],['properti']
Zanzibar,['zanzibar'],['zanzibar']
properties,['properties'],['properti']
